project_id,ward,region,representative,department,fiscal_year,project,allocated_amount,spent_amount,status,start_date,expected_end_date,description
1024,Ward 02,North,Suresh Rao,Water Supply,2023-24,Water Tank Construction,2900000,2170000,In Progress,2023-09-01,2024-10-01,Water Tank Construction for Ward 02
1025,Ward 02,North,Suresh Rao,Water Supply,2023-24,Pipeline Repair,3290000,2060000,In Progress,2023-05-08,2023-09-04,Pipeline Repair for Ward 02
1026,Ward 02,North,Suresh Rao,Infrastructure,2023-24,Bus Shelter Development,2160000,280000,Planned,2023-02-25,2024-02-22,Bus Shelter Development for Ward 02
1027,Ward 02,North,Suresh Rao,Infrastructure,2023-24,Public Park Improvement,3340000,2220000,In Progress,2023-09-06,2024-04-18,Public Park Improvement for Ward 02
1028,Ward 02,North,Suresh Rao,Infrastructure,2023-24,Street Lighting,2810000,2330000,In Progress,2023-09-25,2024-04-04,Street Lighting for Ward 02
1029,Ward 03,North,Priya Devi,Roads,2023-24,Footpath Improvement,5160000,3910000,In Progress,2023-06-15,2024-06-03,Footpath Improvement for Ward 03
1030,Ward 03,North,Priya Devi,Roads,2023-24,Street Repair,4220000,10000,Planned,2023-09-08,2024-10-03,Street Repair for Ward 03
1031,Ward 03,North,Priya Devi,Sanitation,2023-24,Sewer Line Expansion,2370000,1520000,In Progress,2023-04-03,2023-07-18,Sewer Line Expansion for Ward 03
1032,Ward 03,North,Priya Devi,Sanitation,2023-24,Drainage Construction,3980000,2560000,In Progress,2023-11-16,2024-06-02,Drainage Construction for Ward 03
1033,Ward 03,North,Priya Devi,Sanitation,2023-24,Waste Management Facility,3170000,2760000,In Progress,2023-10-16,2024-05-17,Waste Management Facility for Ward 03
1034,Ward 03,North,Priya Devi,Healthcare,2023-24,PHC Upgrade,4330000,3900000,Completed,2023-02-22,2023-12-29,PHC Upgrade for Ward 03
1035,Ward 03,North,Priya Devi,Healthcare,2023-24,Health Center Renovation,3100000,2360000,In Progress,2023-01-22,2024-03-17,Health Center Renovation for Ward 03
1036,Ward 03,North,Priya Devi,Education,2023-24,Classroom Construction,2210000,1680000,In Progress,2023-02-08,2023-08-15,Classroom Construction for Ward 03
1037,Ward 03,North,Priya Devi,Education,2023-24,School Laboratory Upgrade,2460000,1910000,In Progress,2023-05-15,2023-12-18,School Laboratory Upgrade for Ward 03
1038,Ward 03,North,Priya Devi,Water Supply,2023-24,Pipeline Repair,5020000,3240000,In Progress,2023-09-04,2023-12-28,Pipeline Repair for Ward 03
1039,Ward 03,North,Priya Devi,Water Supply,2023-24,Water Treatment Upgrade,4320000,70000,Planned,2023-04-06,2024-01-29,Water Treatment Upgrade for Ward 03
1040,Ward 03,North,Priya Devi,Water Supply,2023-24,Water Pipeline Expansion,3800000,2640000,In Progress,2023-01-06,2023-10-17,Water Pipeline Expansion for Ward 03
1041,Ward 03,North,Priya Devi,Infrastructure,2023-24,Public Park Improvement,1620000,1220000,In Progress,2023-08-10,2024-06-11,Public Park Improvement for Ward 03
1042,Ward 03,North,Priya Devi,Infrastructure,2023-24,Street Lighting,3190000,2790000,In Progress,2023-11-23,2024-10-27,Street Lighting for Ward 03
1043,Ward 04,North,Anil Kumar,Roads,2023-24,Street Repair,3150000,2280000,In Progress,2023-10-24,2024-10-25,Street Repair for Ward 04
1044,Ward 04,North,Anil Kumar,Roads,2023-24,Road Resurfacing,2810000,240000,Planned,2023-09-06,2024-01-03,Road Resurfacing for Ward 04
1045,Ward 04,North,Anil Kumar,Roads,2023-24,Road Expansion,6050000,3920000,In Progress,2023-10-03,2024-04-30,Road Expansion for Ward 04
1046,Ward 04,North,Anil Kumar,Sanitation,2023-24,Drainage Construction,2830000,2680000,Completed,2023-10-20,2024-02-07,Drainage Construction for Ward 04
1047,Ward 04,North,Anil Kumar,Sanitation,2023-24,Waste Management Facility,3380000,2590000,In Progress,2023-09-11,2024-04-21,Waste Management Facility for Ward 04
1048,Ward 04,North,Anil Kumar,Healthcare,2023-24,Health Center Renovation,2660000,2310000,In Progress,2023-07-05,2024-08-28,Health Center Renovation for Ward 04
1049,Ward 04,North,Anil Kumar,Healthcare,2023-24,Medical Equipment Purchase,2940000,2140000,In Progress,2023-02-01,2023-12-22,Medical Equipment Purchase for Ward 04
1050,Ward 04,North,Anil Kumar,Education,2023-24,School Laboratory Upgrade,3620000,350000,Planned,2023-09-09,2024-02-13,School Laboratory Upgrade for Ward 04
1051,Ward 04,North,Anil Kumar,Education,2023-24,Library Development,4460000,4140000,Completed,2023-06-10,2023-11-27,Library Development for Ward 04
1052,Ward 04,North,Anil Kumar,Education,2023-24,School Renovation,3130000,2530000,In Progress,2023-11-17,2024-02-19,School Renovation for Ward 04
1053,Ward 04,North,Anil Kumar,Water Supply,2023-24,Water Treatment Upgrade,4370000,3550000,In Progress,2023-02-05,2023-09-18,Water Treatment Upgrade for Ward 04
1054,Ward 04,North,Anil Kumar,Water Supply,2023-24,Water Pipeline Expansion,2630000,1720000,In Progress,2023-05-10,2024-06-12,Water Pipeline Expansion for Ward 04
1055,Ward 04,North,Anil Kumar,Infrastructure,2023-24,Street Lighting,2090000,1540000,In Progress,2023-05-17,2024-04-21,Street Lighting for Ward 04
1056,Ward 04,North,Anil Kumar,Infrastructure,2023-24,Community Hall Construction,2190000,250000,Planned,2023-05-02,2023-08-01,Community Hall Construction for Ward 04
1057,Ward 05,East,Lakshmi Devi,Roads,2023-24,Road Resurfacing,3800000,2520000,In Progress,2023-03-24,2024-02-03,Road Resurfacing for Ward 05
1058,Ward 05,East,Lakshmi Devi,Roads,2023-24,Road Expansion,4580000,60000,Planned,2023-12-05,2024-12-08,Road Expansion for Ward 05
1059,Ward 05,East,Lakshmi Devi,Sanitation,2023-24,Waste Management Facility,1910000,1430000,In Progress,2023-07-05,2023-10-24,Waste Management Facility for Ward 05
1060,Ward 05,East,Lakshmi Devi,Sanitation,2023-24,Public Toilet Upgrade,2590000,2420000,Completed,2023-01-12,2023-07-28,Public Toilet Upgrade for Ward 05
1061,Ward 05,East,Lakshmi Devi,Healthcare,2023-24,Medical Equipment Purchase,4040000,3440000,In Progress,2023-09-14,2024-10-25,Medical Equipment Purchase for Ward 05
1062,Ward 05,East,Lakshmi Devi,Healthcare,2023-24,Community Health Facility,4230000,3990000,Completed,2023-03-06,2024-01-01,Community Health Facility for Ward 05
1063,Ward 05,East,Lakshmi Devi,Healthcare,2023-24,PHC Upgrade,2150000,1880000,In Progress,2023-07-22,2024-02-24,PHC Upgrade for Ward 05
1064,Ward 05,East,Lakshmi Devi,Education,2023-24,Library Development,2670000,410000,Planned,2023-08-08,2024-02-16,Library Development for Ward 05
1065,Ward 05,East,Lakshmi Devi,Education,2023-24,School Renovation,4150000,3240000,In Progress,2023-04-08,2023-07-19,School Renovation for Ward 05
1066,Ward 05,East,Lakshmi Devi,Water Supply,2023-24,Water Pipeline Expansion,4350000,3300000,In Progress,2023-02-25,2023-10-15,Water Pipeline Expansion for Ward 05
1067,Ward 05,East,Lakshmi Devi,Water Supply,2023-24,Water Tank Construction,3380000,2690000,In Progress,2023-09-11,2023-12-24,Water Tank Construction for Ward 05
1068,Ward 05,East,Lakshmi Devi,Infrastructure,2023-24,Community Hall Construction,1880000,1800000,Completed,2023-05-02,2023-09-24,Community Hall Construction for Ward 05
1069,Ward 05,East,Lakshmi Devi,Infrastructure,2023-24,Bus Shelter Development,2960000,2190000,In Progress,2023-07-20,2024-07-05,Bus Shelter Development for Ward 05
1070,Ward 05,East,Lakshmi Devi,Infrastructure,2023-24,Public Park Improvement,1880000,1750000,Completed,2023-01-23,2023-12-02,Public Park Improvement for Ward 05
1071,Ward 06,East,Mohan Rao,Roads,2023-24,Road Expansion,2600000,2450000,Completed,2023-12-24,2024-07-01,Road Expansion for Ward 06
1072,Ward 06,East,Mohan Rao,Roads,2023-24,Footpath Improvement,3910000,2510000,In Progress,2023-06-20,2024-02-25,Footpath Improvement for Ward 06
1073,Ward 06,East,Mohan Rao,Sanitation,2023-24,Public Toilet Upgrade,3490000,2310000,In Progress,2023-09-10,2024-07-05,Public Toilet Upgrade for Ward 06
1074,Ward 06,East,Mohan Rao,Sanitation,2023-24,Sewer Line Expansion,2640000,2280000,In Progress,2023-04-14,2024-01-23,Sewer Line Expansion for Ward 06
1075,Ward 06,East,Mohan Rao,Sanitation,2023-24,Drainage Construction,3520000,3290000,Completed,2023-05-13,2024-05-17,Drainage Construction for Ward 06
1076,Ward 06,East,Mohan Rao,Healthcare,2023-24,Community Health Facility,4480000,3250000,In Progress,2023-10-20,2024-06-30,Community Health Facility for Ward 06
1077,Ward 06,East,Mohan Rao,Healthcare,2023-24,PHC Upgrade,3410000,2640000,In Progress,2023-08-24,2024-02-16,PHC Upgrade for Ward 06
1078,Ward 06,East,Mohan Rao,Education,2023-24,School Renovation,3720000,2670000,In Progress,2023-10-11,2024-02-25,School Renovation for Ward 06
1079,Ward 06,East,Mohan Rao,Education,2023-24,Classroom Construction,4150000,3660000,In Progress,2023-04-07,2023-09-19,Classroom Construction for Ward 06
1080,Ward 06,East,Mohan Rao,Water Supply,2023-24,Water Tank Construction,2350000,1650000,In Progress,2023-02-15,2023-12-14,Water Tank Construction for Ward 06
1081,Ward 06,East,Mohan Rao,Water Supply,2023-24,Pipeline Repair,5060000,4150000,In Progress,2023-07-16,2024-05-05,Pipeline Repair for Ward 06
1082,Ward 06,East,Mohan Rao,Water Supply,2023-24,Water Treatment Upgrade,3040000,410000,Planned,2023-02-25,2023-12-29,Water Treatment Upgrade for Ward 06
1083,Ward 06,East,Mohan Rao,Infrastructure,2023-24,Bus Shelter Development,2110000,1900000,Completed,2023-08-02,2024-08-11,Bus Shelter Development for Ward 06
1084,Ward 06,East,Mohan Rao,Infrastructure,2023-24,Public Park Improvement,2180000,1990000,Completed,2023-08-22,2024-08-17,Public Park Improvement for Ward 06
1085,Ward 07,East,Kiran Kumar,Roads,2023-24,Footpath Improvement,6150000,5090000,In Progress,2023-08-20,2024-08-02,Footpath Improvement for Ward 07
1086,Ward 07,East,Kiran Kumar,Roads,2023-24,Street Repair,4130000,3870000,Completed,2023-03-24,2024-02-20,Street Repair for Ward 07
1087,Ward 07,East,Kiran Kumar,Roads,2023-24,Road Resurfacing,4220000,3720000,In Progress,2023-05-25,2024-05-15,Road Resurfacing for Ward 07
1088,Ward 07,East,Kiran Kumar,Sanitation,2023-24,Sewer Line Expansion,3040000,2130000,In Progress,2023-12-10,2024-07-07,Sewer Line Expansion for Ward 07
1089,Ward 07,East,Kiran Kumar,Sanitation,2023-24,Drainage Construction,2500000,1820000,In Progress,2023-03-05,2023-09-29,Drainage Construction for Ward 07
1090,Ward 07,East,Kiran Kumar,Healthcare,2023-24,PHC Upgrade,3180000,2140000,In Progress,2023-07-14,2024-03-29,PHC Upgrade for Ward 07
1091,Ward 07,East,Kiran Kumar,Healthcare,2023-24,Health Center Renovation,3640000,2780000,In Progress,2023-07-13,2024-08-05,Health Center Renovation for Ward 07
1092,Ward 07,East,Kiran Kumar,Education,2023-24,Classroom Construction,4500000,2820000,In Progress,2023-10-13,2024-09-11,Classroom Construction for Ward 07
1093,Ward 07,East,Kiran Kumar,Education,2023-24,School Laboratory Upgrade,1960000,1450000,In Progress,2023-07-18,2024-07-21,School Laboratory Upgrade for Ward 07
1094,Ward 07,East,Kiran Kumar,Education,2023-24,Library Development,4100000,3830000,Completed,2023-05-14,2024-04-16,Library Development for Ward 07
1095,Ward 07,East,Kiran Kumar,Water Supply,2023-24,Pipeline Repair,2360000,1740000,In Progress,2023-07-24,2024-01-14,Pipeline Repair for Ward 07
1096,Ward 07,East,Kiran Kumar,Water Supply,2023-24,Water Treatment Upgrade,4920000,4630000,Completed,2023-09-01,2024-06-18,Water Treatment Upgrade for Ward 07
1097,Ward 07,East,Kiran Kumar,Infrastructure,2023-24,Public Park Improvement,2950000,220000,Planned,2023-08-06,2023-11-29,Public Park Improvement for Ward 07
1098,Ward 07,East,Kiran Kumar,Infrastructure,2023-24,Street Lighting,2210000,1620000,In Progress,2023-06-25,2024-04-04,Street Lighting for Ward 07
1099,Ward 08,East,Sunita Devi,Roads,2023-24,Street Repair,3600000,3430000,Completed,2023-02-16,2023-05-26,Street Repair for Ward 08
1100,Ward 08,East,Sunita Devi,Roads,2023-24,Road Resurfacing,5290000,3370000,In Progress,2023-04-21,2023-08-24,Road Resurfacing for Ward 08
1101,Ward 08,East,Sunita Devi,Sanitation,2023-24,Drainage Construction,3780000,3200000,In Progress,2023-04-07,2023-07-16,Drainage Construction for Ward 08
1102,Ward 08,East,Sunita Devi,Sanitation,2023-24,Waste Management Facility,3380000,2370000,In Progress,2023-02-19,2023-09-08,Waste Management Facility for Ward 08
1103,Ward 08,East,Sunita Devi,Healthcare,2023-24,Health Center Renovation,3410000,2420000,In Progress,2023-10-20,2024-03-16,Health Center Renovation for Ward 08
1104,Ward 08,East,Sunita Devi,Healthcare,2023-24,Medical Equipment Purchase,4320000,2920000,In Progress,2023-10-01,2024-06-06,Medical Equipment Purchase for Ward 08
1105,Ward 08,East,Sunita Devi,Healthcare,2023-24,Community Health Facility,3730000,3490000,Completed,2023-12-07,2024-04-13,Community Health Facility for Ward 08
1106,Ward 08,East,Sunita Devi,Education,2023-24,School Laboratory Upgrade,3540000,3220000,Completed,2023-12-25,2024-08-25,School Laboratory Upgrade for Ward 08
1107,Ward 08,East,Sunita Devi,Education,2023-24,Library Development,4240000,3510000,In Progress,2023-10-02,2024-06-25,Library Development for Ward 08
1108,Ward 08,East,Sunita Devi,Water Supply,2023-24,Water Treatment Upgrade,3950000,460000,Planned,2023-01-14,2023-12-20,Water Treatment Upgrade for Ward 08
1109,Ward 08,East,Sunita Devi,Water Supply,2023-24,Water Pipeline Expansion,2600000,2480000,Completed,2023-08-23,2024-02-07,Water Pipeline Expansion for Ward 08
1110,Ward 08,East,Sunita Devi,Infrastructure,2023-24,Street Lighting,2600000,2270000,In Progress,2023-05-20,2024-05-19,Street Lighting for Ward 08
1111,Ward 08,East,Sunita Devi,Infrastructure,2023-24,Community Hall Construction,3360000,2620000,In Progress,2023-10-09,2024-06-20,Community Hall Construction for Ward 08
1112,Ward 08,East,Sunita Devi,Infrastructure,2023-24,Bus Shelter Development,3540000,560000,Planned,2023-04-25,2024-03-17,Bus Shelter Development for Ward 08
1113,Ward 09,Central,Arjun Rao,Roads,2023-24,Road Resurfacing,4650000,3970000,In Progress,2023-08-11,2024-02-10,Road Resurfacing for Ward 09
1114,Ward 09,Central,Arjun Rao,Roads,2023-24,Road Expansion,4350000,3230000,In Progress,2023-05-20,2024-01-06,Road Expansion for Ward 09
1115,Ward 09,Central,Arjun Rao,Sanitation,2023-24,Waste Management Facility,3220000,2570000,In Progress,2023-04-24,2024-02-16,Waste Management Facility for Ward 09
1116,Ward 09,Central,Arjun Rao,Sanitation,2023-24,Public Toilet Upgrade,3050000,2700000,In Progress,2023-11-23,2024-10-29,Public Toilet Upgrade for Ward 09
1117,Ward 09,Central,Arjun Rao,Sanitation,2023-24,Sewer Line Expansion,2940000,1840000,In Progress,2023-07-23,2024-02-22,Sewer Line Expansion for Ward 09
1118,Ward 09,Central,Arjun Rao,Healthcare,2023-24,Medical Equipment Purchase,2960000,2430000,In Progress,2023-09-12,2024-07-15,Medical Equipment Purchase for Ward 09
1119,Ward 09,Central,Arjun Rao,Healthcare,2023-24,Community Health Facility,4950000,4020000,In Progress,2023-08-09,2024-04-11,Community Health Facility for Ward 09
1120,Ward 09,Central,Arjun Rao,Education,2023-24,Library Development,2620000,1730000,In Progress,2023-02-24,2024-02-23,Library Development for Ward 09
1121,Ward 09,Central,Arjun Rao,Education,2023-24,School Renovation,4510000,3880000,In Progress,2023-12-16,2024-08-03,School Renovation for Ward 09
1122,Ward 09,Central,Arjun Rao,Water Supply,2023-24,Water Pipeline Expansion,4550000,4370000,Completed,2023-05-04,2023-11-09,Water Pipeline Expansion for Ward 09
1123,Ward 09,Central,Arjun Rao,Water Supply,2023-24,Water Tank Construction,3200000,2380000,In Progress,2023-12-18,2024-05-20,Water Tank Construction for Ward 09
1124,Ward 09,Central,Arjun Rao,Water Supply,2023-24,Pipeline Repair,3130000,3000000,Completed,2023-12-05,2025-01-24,Pipeline Repair for Ward 09
1125,Ward 09,Central,Arjun Rao,Infrastructure,2023-24,Community Hall Construction,3570000,2820000,In Progress,2023-10-10,2024-09-04,Community Hall Construction for Ward 09
1126,Ward 09,Central,Arjun Rao,Infrastructure,2023-24,Bus Shelter Development,2700000,1990000,In Progress,2023-05-16,2023-10-11,Bus Shelter Development for Ward 09
1127,Ward 10,Central,Meena Kumari,Roads,2023-24,Road Expansion,5550000,620000,Planned,2023-01-05,2023-06-20,Road Expansion for Ward 10
1128,Ward 10,Central,Meena Kumari,Roads,2023-24,Footpath Improvement,5520000,240000,Planned,2023-09-25,2024-07-24,Footpath Improvement for Ward 10
1129,Ward 10,Central,Meena Kumari,Roads,2023-24,Street Repair,4780000,4280000,In Progress,2023-09-13,2024-07-29,Street Repair for Ward 10
1130,Ward 10,Central,Meena Kumari,Sanitation,2023-24,Public Toilet Upgrade,4100000,2960000,In Progress,2023-07-10,2024-07-25,Public Toilet Upgrade for Ward 10
1131,Ward 10,Central,Meena Kumari,Sanitation,2023-24,Sewer Line Expansion,3380000,2810000,In Progress,2023-04-21,2023-11-05,Sewer Line Expansion for Ward 10
1132,Ward 10,Central,Meena Kumari,Healthcare,2023-24,Community Health Facility,2840000,1840000,In Progress,2023-09-03,2024-02-20,Community Health Facility for Ward 10
1133,Ward 10,Central,Meena Kumari,Healthcare,2023-24,PHC Upgrade,2080000,1610000,In Progress,2023-05-02,2023-11-26,PHC Upgrade for Ward 10
1134,Ward 10,Central,Meena Kumari,Education,2023-24,School Renovation,2720000,1950000,In Progress,2023-02-22,2023-09-19,School Renovation for Ward 10
1135,Ward 10,Central,Meena Kumari,Education,2023-24,Classroom Construction,4440000,3970000,In Progress,2023-11-07,2024-09-09,Classroom Construction for Ward 10
1136,Ward 10,Central,Meena Kumari,Education,2023-24,School Laboratory Upgrade,2250000,1570000,In Progress,2023-05-05,2023-09-08,School Laboratory Upgrade for Ward 10
1137,Ward 10,Central,Meena Kumari,Water Supply,2023-24,Water Tank Construction,2460000,2200000,In Progress,2023-10-10,2024-08-19,Water Tank Construction for Ward 10
1138,Ward 10,Central,Meena Kumari,Water Supply,2023-24,Pipeline Repair,2660000,2290000,In Progress,2023-05-17,2024-05-17,Pipeline Repair for Ward 10
1139,Ward 10,Central,Meena Kumari,Infrastructure,2023-24,Bus Shelter Development,2730000,210000,Planned,2023-06-20,2024-01-24,Bus Shelter Development for Ward 10
1140,Ward 10,Central,Meena Kumari,Infrastructure,2023-24,Public Park Improvement,1680000,1170000,In Progress,2023-10-19,2024-01-27,Public Park Improvement for Ward 10
1141,Ward 11,Central,Ramesh Babu,Roads,2023-24,Footpath Improvement,6190000,5290000,In Progress,2023-01-25,2023-07-23,Footpath Improvement for Ward 11
1142,Ward 11,Central,Ramesh Babu,Roads,2023-24,Street Repair,4290000,3630000,In Progress,2023-03-19,2024-01-26,Street Repair for Ward 11
1143,Ward 11,Central,Ramesh Babu,Sanitation,2023-24,Sewer Line Expansion,3410000,210000,Planned,2023-06-11,2023-11-01,Sewer Line Expansion for Ward 11
1144,Ward 11,Central,Ramesh Babu,Sanitation,2023-24,Drainage Construction,3980000,2920000,In Progress,2023-05-22,2024-03-12,Drainage Construction for Ward 11
1145,Ward 11,Central,Ramesh Babu,Healthcare,2023-24,PHC Upgrade,4420000,3590000,In Progress,2023-06-09,2024-02-19,PHC Upgrade for Ward 11
1146,Ward 11,Central,Ramesh Babu,Healthcare,2023-24,Health Center Renovation,2410000,2140000,In Progress,2023-01-22,2024-01-24,Health Center Renovation for Ward 11
1147,Ward 11,Central,Ramesh Babu,Healthcare,2023-24,Medical Equipment Purchase,3410000,2170000,In Progress,2023-10-25,2024-10-04,Medical Equipment Purchase for Ward 11
1148,Ward 11,Central,Ramesh Babu,Education,2023-24,Classroom Construction,3630000,3210000,In Progress,2023-09-05,2024-04-29,Classroom Construction for Ward 11
1149,Ward 11,Central,Ramesh Babu,Education,2023-24,School Laboratory Upgrade,3130000,2700000,In Progress,2023-11-20,2024-06-19,School Laboratory Upgrade for Ward 11
1150,Ward 11,Central,Ramesh Babu,Water Supply,2023-24,Pipeline Repair,4510000,330000,Planned,2023-04-04,2024-02-24,Pipeline Repair for Ward 11
1151,Ward 11,Central,Ramesh Babu,Water Supply,2023-24,Water Treatment Upgrade,5250000,4440000,In Progress,2023-12-10,2024-11-24,Water Treatment Upgrade for Ward 11
1152,Ward 11,Central,Ramesh Babu,Infrastructure,2023-24,Public Park Improvement,3210000,2450000,In Progress,2023-08-08,2024-06-26,Public Park Improvement for Ward 11
1153,Ward 11,Central,Ramesh Babu,Infrastructure,2023-24,Street Lighting,2860000,2150000,In Progress,2023-09-24,2024-03-01,Street Lighting for Ward 11
1154,Ward 11,Central,Ramesh Babu,Infrastructure,2023-24,Community Hall Construction,3560000,2550000,In Progress,2023-07-11,2024-06-24,Community Hall Construction for Ward 11
1155,Ward 12,Central,Kavya Rao,Roads,2023-24,Street Repair,3560000,2210000,In Progress,2023-10-19,2024-09-23,Street Repair for Ward 12
1156,Ward 12,Central,Kavya Rao,Roads,2023-24,Road Resurfacing,5710000,4430000,In Progress,2023-06-18,2024-06-20,Road Resurfacing for Ward 12
1157,Ward 12,Central,Kavya Rao,Sanitation,2023-24,Drainage Construction,2770000,2620000,Completed,2023-12-08,2024-12-24,Drainage Construction for Ward 12
1158,Ward 12,Central,Kavya Rao,Sanitation,2023-24,Waste Management Facility,2780000,2550000,Completed,2023-06-24,2024-05-21,Waste Management Facility for Ward 12
1159,Ward 12,Central,Kavya Rao,Sanitation,2023-24,Public Toilet Upgrade,3590000,3240000,Completed,2023-11-21,2024-05-06,Public Toilet Upgrade for Ward 12
1160,Ward 12,Central,Kavya Rao,Healthcare,2023-24,Health Center Renovation,3500000,2210000,In Progress,2023-10-11,2024-02-29,Health Center Renovation for Ward 12
1161,Ward 12,Central,Kavya Rao,Healthcare,2023-24,Medical Equipment Purchase,4590000,3550000,In Progress,2023-08-01,2024-01-11,Medical Equipment Purchase for Ward 12
1162,Ward 12,Central,Kavya Rao,Education,2023-24,School Laboratory Upgrade,3050000,2580000,In Progress,2023-08-09,2024-04-28,School Laboratory Upgrade for Ward 12
1163,Ward 12,Central,Kavya Rao,Education,2023-24,Library Development,3630000,210000,Planned,2023-11-18,2024-08-28,Library Development for Ward 12
1164,Ward 12,Central,Kavya Rao,Water Supply,2023-24,Water Treatment Upgrade,5280000,4430000,In Progress,2023-08-18,2023-12-04,Water Treatment Upgrade for Ward 12
1165,Ward 12,Central,Kavya Rao,Water Supply,2023-24,Water Pipeline Expansion,4210000,2950000,In Progress,2023-05-08,2023-09-21,Water Pipeline Expansion for Ward 12
1166,Ward 12,Central,Kavya Rao,Water Supply,2023-24,Water Tank Construction,3640000,2380000,In Progress,2023-02-15,2023-08-09,Water Tank Construction for Ward 12
1167,Ward 12,Central,Kavya Rao,Infrastructure,2023-24,Street Lighting,3180000,450000,Planned,2023-05-12,2024-02-17,Street Lighting for Ward 12
1168,Ward 12,Central,Kavya Rao,Infrastructure,2023-24,Community Hall Construction,2590000,1820000,In Progress,2023-11-06,2024-05-01,Community Hall Construction for Ward 12
1169,Ward 13,South,Vijay Kumar,Roads,2023-24,Road Resurfacing,3230000,2690000,In Progress,2023-11-08,2024-10-17,Road Resurfacing for Ward 13
1170,Ward 13,South,Vijay Kumar,Roads,2023-24,Road Expansion,5880000,3940000,In Progress,2023-05-15,2023-12-21,Road Expansion for Ward 13
1171,Ward 13,South,Vijay Kumar,Roads,2023-24,Footpath Improvement,5000000,4670000,Completed,2023-05-22,2024-05-25,Footpath Improvement for Ward 13
1172,Ward 13,South,Vijay Kumar,Sanitation,2023-24,Waste Management Facility,2210000,1710000,In Progress,2023-10-10,2024-11-30,Waste Management Facility for Ward 13
